"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","subject_id","study_id","session_id","pair_count","randomized_pair_order","block1_codes","block2_codes","max_run_block1","max_run_block2","fullscreen_exit_count","tab_switch_count","video_attention_failure_count","total_attention_violation_count","view_history","rt","stimulus","response","trial_kind","question_order","spacebar_question_answer","attention_question_answer","spacebar_question_correct","attention_question_correct","instruction_check_passed","demo_index","demo_code","stimulus_file","stimulus_name","predictability","boundary_times_sec","boundary_count","value","video_code","pair_number","block","global_position_in_block","min_press_gap_sec","no_press_failure","rapid_press_failure","video_attention_failed","video_attention_failure_type","last_video_had_any_attention_violation","current_video_fullscreen_exit_count","current_video_tab_switch_count","current_video_had_fullscreen_exit","current_video_had_tab_switch","current_video_had_video_attention_failure","skipped_video_debug","confidence_rating"
"true","false","[]","[]","[]","preload","0","2.0.0","1164","80","1","2026-06-08 14:53:35","segmentation_norming_randomized_order_maxrun_attention_v4","88.97.165.187","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36","WebKit","Chrome","149.0.0.0","Windows","10.0","https://uencdihehs.cognition.run/?PROLIFIC_PID=6a020761171e2014c686e110&STUDY_ID=6a230fc25d128c9d1b56061a&STUDY_ID=6a230fc25d128c9d1b56061a&SESSION_ID=6a26d6ecf84152d6405839fe?PROLIFIC_PID=6a020761171e2014c686e110&SESSION_ID=6a26d6ecf84152d6405839fe?","en-US,en;q=0.9","6a020761171e2014c686e110","6a230fc25d128c9d1b56061a","6a26d6ecf84152d6405839fe?","6a020761171e2014c686e110","6a230fc25d128c9d1b56061a","6a26d6ecf84152d6405839fe?","30","[5,7,15,11,21,6,1,9,22,10,29,25,12,3,2,19,20,16,14,8,30,17,26,23,24,4,28,27,18,13]","[""U5"",""U7"",""P15"",""P11"",""P21"",""P6"",""U1"",""U9"",""U22"",""P10"",""U29"",""U25"",""U12"",""P3"",""P2"",""P19"",""P20"",""P16"",""U14"",""P8"",""U30"",""U17"",""P26"",""U23"",""P24"",""P4"",""P28"",""P27"",""U18"",""U13""]","[""P5"",""P7"",""U15"",""U11"",""U21"",""U6"",""P1"",""P9"",""P22"",""U10"",""P29"",""P25"",""P12"",""U3"",""U2"",""U19"",""U20"",""U16"",""P14"",""U8"",""P30"",""P17"",""U26"",""P23"",""U24"",""U4"",""U28"",""U27"",""P18"",""P13""]","5","5","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","2.0.0","75637","80","1","2026-06-08 14:53:35","segmentation_norming_randomized_order_maxrun_attention_v4","88.97.165.187","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36","WebKit","Chrome","149.0.0.0","Windows","10.0","https://uencdihehs.cognition.run/?PROLIFIC_PID=6a020761171e2014c686e110&STUDY_ID=6a230fc25d128c9d1b56061a&STUDY_ID=6a230fc25d128c9d1b56061a&SESSION_ID=6a26d6ecf84152d6405839fe?PROLIFIC_PID=6a020761171e2014c686e110&SESSION_ID=6a26d6ecf84152d6405839fe?","en-US,en;q=0.9","6a020761171e2014c686e110","6a230fc25d128c9d1b56061a","6a26d6ecf84152d6405839fe?","6a020761171e2014c686e110","6a230fc25d128c9d1b56061a","6a26d6ecf84152d6405839fe?","30","[5,7,15,11,21,6,1,9,22,10,29,25,12,3,2,19,20,16,14,8,30,17,26,23,24,4,28,27,18,13]","[""U5"",""U7"",""P15"",""P11"",""P21"",""P6"",""U1"",""U9"",""U22"",""P10"",""U29"",""U25"",""U12"",""P3"",""P2"",""P19"",""P20"",""P16"",""U14"",""P8"",""U30"",""U17"",""P26"",""U23"",""P24"",""P4"",""P28"",""P27"",""U18"",""U13""]","[""P5"",""P7"",""U15"",""U11"",""U21"",""U6"",""P1"",""P9"",""P22"",""U10"",""P29"",""P25"",""P12"",""U3"",""U2"",""U19"",""U20"",""U16"",""P14"",""U8"",""P30"",""P17"",""U26"",""P23"",""U24"",""U4"",""U28"",""U27"",""P18"",""P13""]","5","5","0","0","0","0","[{""page_index"":0,""viewing_time"":74472}]","74472","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","2.0.0","78785","80","1","2026-06-08 14:53:35","segmentation_norming_randomized_order_maxrun_attention_v4","88.97.165.187","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36","WebKit","Chrome","149.0.0.0","Windows","10.0","https://uencdihehs.cognition.run/?PROLIFIC_PID=6a020761171e2014c686e110&STUDY_ID=6a230fc25d128c9d1b56061a&STUDY_ID=6a230fc25d128c9d1b56061a&SESSION_ID=6a26d6ecf84152d6405839fe?PROLIFIC_PID=6a020761171e2014c686e110&SESSION_ID=6a26d6ecf84152d6405839fe?","en-US,en;q=0.9","6a020761171e2014c686e110","6a230fc25d128c9d1b56061a","6a26d6ecf84152d6405839fe?","6a020761171e2014c686e110","6a230fc25d128c9d1b56061a","6a26d6ecf84152d6405839fe?","30","[5,7,15,11,21,6,1,9,22,10,29,25,12,3,2,19,20,16,14,8,30,17,26,23,24,4,28,27,18,13]","[""U5"",""U7"",""P15"",""P11"",""P21"",""P6"",""U1"",""U9"",""U22"",""P10"",""U29"",""U25"",""U12"",""P3"",""P2"",""P19"",""P20"",""P16"",""U14"",""P8"",""U30"",""U17"",""P26"",""U23"",""P24"",""P4"",""P28"",""P27"",""U18"",""U13""]","[""P5"",""P7"",""U15"",""U11"",""U21"",""U6"",""P1"",""P9"",""P22"",""U10"",""P29"",""P25"",""P12"",""U3"",""U2"",""U19"",""U20"",""U16"",""P14"",""U8"",""P30"",""P17"",""U26"",""P23"",""U24"",""U4"",""U28"",""U27"",""P18"",""P13""]","5","5","0","0","0","0","","2146","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","3","2.0.0","100956","80","1","2026-06-08 14:53:35","segmentation_norming_randomized_order_maxrun_attention_v4","88.97.165.187","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36","WebKit","Chrome","149.0.0.0","Windows","10.0","https://uencdihehs.cognition.run/?PROLIFIC_PID=6a020761171e2014c686e110&STUDY_ID=6a230fc25d128c9d1b56061a&STUDY_ID=6a230fc25d128c9d1b56061a&SESSION_ID=6a26d6ecf84152d6405839fe?PROLIFIC_PID=6a020761171e2014c686e110&SESSION_ID=6a26d6ecf84152d6405839fe?","en-US,en;q=0.9","6a020761171e2014c686e110","6a230fc25d128c9d1b56061a","6a26d6ecf84152d6405839fe?","6a020761171e2014c686e110","6a230fc25d128c9d1b56061a","6a26d6ecf84152d6405839fe?","30","[5,7,15,11,21,6,1,9,22,10,29,25,12,3,2,19,20,16,14,8,30,17,26,23,24,4,28,27,18,13]","[""U5"",""U7"",""P15"",""P11"",""P21"",""P6"",""U1"",""U9"",""U22"",""P10"",""U29"",""U25"",""U12"",""P3"",""P2"",""P19"",""P20"",""P16"",""U14"",""P8"",""U30"",""U17"",""P26"",""U23"",""P24"",""P4"",""P28"",""P27"",""U18"",""U13""]","[""P5"",""P7"",""U15"",""U11"",""U21"",""U6"",""P1"",""P9"",""P22"",""U10"",""P29"",""P25"",""P12"",""U3"",""U2"",""U19"",""U20"",""U16"",""P14"",""U8"",""P30"",""P17"",""U26"",""P23"",""U24"",""U4"",""U28"",""U27"",""P18"",""P13""]","5","5","0","0","0","0","","22170","The experiment requires continuous attention and full-screen participation throughout the task.<br><br>You may be asked to exit the experiment and cancel your participation if you exit Full Screen Mode, switch tabs, or fail to meet the attention criteria more than the allowed number of times.<br><br>Please read the following instructions carefully.","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","4","2.0.0","205470","80","1","2026-06-08 14:53:35","segmentation_norming_randomized_order_maxrun_attention_v4","88.97.165.187","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36","WebKit","Chrome","149.0.0.0","Windows","10.0","https://uencdihehs.cognition.run/?PROLIFIC_PID=6a020761171e2014c686e110&STUDY_ID=6a230fc25d128c9d1b56061a&STUDY_ID=6a230fc25d128c9d1b56061a&SESSION_ID=6a26d6ecf84152d6405839fe?PROLIFIC_PID=6a020761171e2014c686e110&SESSION_ID=6a26d6ecf84152d6405839fe?","en-US,en;q=0.9","6a020761171e2014c686e110","6a230fc25d128c9d1b56061a","6a26d6ecf84152d6405839fe?","6a020761171e2014c686e110","6a230fc25d128c9d1b56061a","6a26d6ecf84152d6405839fe?","30","[5,7,15,11,21,6,1,9,22,10,29,25,12,3,2,19,20,16,14,8,30,17,26,23,24,4,28,27,18,13]","[""U5"",""U7"",""P15"",""P11"",""P21"",""P6"",""U1"",""U9"",""U22"",""P10"",""U29"",""U25"",""U12"",""P3"",""P2"",""P19"",""P20"",""P16"",""U14"",""P8"",""U30"",""U17"",""P26"",""U23"",""P24"",""P4"",""P28"",""P27"",""U18"",""U13""]","[""P5"",""P7"",""U15"",""U11"",""U21"",""U6"",""P1"",""P9"",""P22"",""U10"",""P29"",""P25"",""P12"",""U3"",""U2"",""U19"",""U20"",""U16"",""P14"",""U8"",""P30"",""P17"",""U26"",""P23"",""U24"",""U4"",""U28"",""U27"",""P18"",""P13""]","5","5","0","0","0","0","[{""page_index"":0,""viewing_time"":104513}]","104513","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","2.0.0","211004","80","1","2026-06-08 14:53:35","segmentation_norming_randomized_order_maxrun_attention_v4","88.97.165.187","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36","WebKit","Chrome","149.0.0.0","Windows","10.0","https://uencdihehs.cognition.run/?PROLIFIC_PID=6a020761171e2014c686e110&STUDY_ID=6a230fc25d128c9d1b56061a&STUDY_ID=6a230fc25d128c9d1b56061a&SESSION_ID=6a26d6ecf84152d6405839fe?PROLIFIC_PID=6a020761171e2014c686e110&SESSION_ID=6a26d6ecf84152d6405839fe?","en-US,en;q=0.9","6a020761171e2014c686e110","6a230fc25d128c9d1b56061a","6a26d6ecf84152d6405839fe?","6a020761171e2014c686e110","6a230fc25d128c9d1b56061a","6a26d6ecf84152d6405839fe?","30","[5,7,15,11,21,6,1,9,22,10,29,25,12,3,2,19,20,16,14,8,30,17,26,23,24,4,28,27,18,13]","[""U5"",""U7"",""P15"",""P11"",""P21"",""P6"",""U1"",""U9"",""U22"",""P10"",""U29"",""U25"",""U12"",""P3"",""P2"",""P19"",""P20"",""P16"",""U14"",""P8"",""U30"",""U17"",""P26"",""U23"",""P24"",""P4"",""P28"",""P27"",""U18"",""U13""]","[""P5"",""P7"",""U15"",""U11"",""U21"",""U6"",""P1"",""P9"",""P22"",""U10"",""P29"",""P25"",""P12"",""U3"",""U2"",""U19"",""U20"",""U16"",""P14"",""U8"",""P30"",""P17"",""U26"",""P23"",""U24"",""U4"",""U28"",""U27"",""P18"",""P13""]","5","5","0","0","0","0","","5534","Please pay attention when watching videos and marking boundaries.<br><br>There are several hidden attention criteria to make sure you watch the videos carefully.<br><br>If you fail these hidden criteria more than the allowed number of times, you may be asked to exit the experiment.","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-multi-choice","6","2.0.0","220675","80","1","2026-06-08 14:53:35","segmentation_norming_randomized_order_maxrun_attention_v4","88.97.165.187","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36","WebKit","Chrome","149.0.0.0","Windows","10.0","https://uencdihehs.cognition.run/?PROLIFIC_PID=6a020761171e2014c686e110&STUDY_ID=6a230fc25d128c9d1b56061a&STUDY_ID=6a230fc25d128c9d1b56061a&SESSION_ID=6a26d6ecf84152d6405839fe?PROLIFIC_PID=6a020761171e2014c686e110&SESSION_ID=6a26d6ecf84152d6405839fe?","en-US,en;q=0.9","6a020761171e2014c686e110","6a230fc25d128c9d1b56061a","6a26d6ecf84152d6405839fe?","6a020761171e2014c686e110","6a230fc25d128c9d1b56061a","6a26d6ecf84152d6405839fe?","30","[5,7,15,11,21,6,1,9,22,10,29,25,12,3,2,19,20,16,14,8,30,17,26,23,24,4,28,27,18,13]","[""U5"",""U7"",""P15"",""P11"",""P21"",""P6"",""U1"",""U9"",""U22"",""P10"",""U29"",""U25"",""U12"",""P3"",""P2"",""P19"",""P20"",""P16"",""U14"",""P8"",""U30"",""U17"",""P26"",""U23"",""P24"",""P4"",""P28"",""P27"",""U18"",""U13""]","[""P5"",""P7"",""U15"",""U11"",""U21"",""U6"",""P1"",""P9"",""P22"",""U10"",""P29"",""P25"",""P12"",""U3"",""U2"",""U19"",""U20"",""U16"",""P14"",""U8"",""P30"",""P17"",""U26"",""P23"",""U24"",""U4"",""U28"",""U27"",""P18"",""P13""]","5","5","0","0","0","0","","9669","","{""spacebar_question"":""Between the smallest meaningful events or actions"",""attention_question"":""Press space bar to segment the video""}","comprehension_check","[0,1]","Between the smallest meaningful events or actions","Press space bar to segment the video","true","true","true","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","2.0.0","237275","80","1","2026-06-08 14:53:35","segmentation_norming_randomized_order_maxrun_attention_v4","88.97.165.187","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36","WebKit","Chrome","149.0.0.0","Windows","10.0","https://uencdihehs.cognition.run/?PROLIFIC_PID=6a020761171e2014c686e110&STUDY_ID=6a230fc25d128c9d1b56061a&STUDY_ID=6a230fc25d128c9d1b56061a&SESSION_ID=6a26d6ecf84152d6405839fe?PROLIFIC_PID=6a020761171e2014c686e110&SESSION_ID=6a26d6ecf84152d6405839fe?","en-US,en;q=0.9","6a020761171e2014c686e110","6a230fc25d128c9d1b56061a","6a26d6ecf84152d6405839fe?","6a020761171e2014c686e110","6a230fc25d128c9d1b56061a","6a26d6ecf84152d6405839fe?","30","[5,7,15,11,21,6,1,9,22,10,29,25,12,3,2,19,20,16,14,8,30,17,26,23,24,4,28,27,18,13]","[""U5"",""U7"",""P15"",""P11"",""P21"",""P6"",""U1"",""U9"",""U22"",""P10"",""U29"",""U25"",""U12"",""P3"",""P2"",""P19"",""P20"",""P16"",""U14"",""P8"",""U30"",""U17"",""P26"",""U23"",""P24"",""P4"",""P28"",""P27"",""U18"",""U13""]","[""P5"",""P7"",""U15"",""U11"",""U21"",""U6"",""P1"",""P9"",""P22"",""U10"",""P29"",""P25"",""P12"",""U3"",""U2"",""U19"",""U20"",""U16"",""P14"",""U8"",""P30"",""P17"",""U26"",""P23"",""U24"",""U4"",""U28"",""U27"",""P18"",""P13""]","5","5","0","0","0","0","","16599","You have learned the instructions for the task! Here is a demo trial.<br><br>Like what you will do in the main experiment,<br><br> you will watch a movie clip and at the same time mark off the activity in the movie into the <strong>smallest meaningful units</strong> that seem natural and meaningful to you.<br><br>Remember, tap the <strong>SPACE BAR</strong> to mark off a boundary between two <strong>smallest meaningful units</strong> of activity.<br><br>A green bar will appear at the bottom of the screen when you press the button.<br><br>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","video-keyboard-response","9","2.0.0","253521","80","1","2026-06-08 14:53:35","segmentation_norming_randomized_order_maxrun_attention_v4","88.97.165.187","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36","WebKit","Chrome","149.0.0.0","Windows","10.0","https://uencdihehs.cognition.run/?PROLIFIC_PID=6a020761171e2014c686e110&STUDY_ID=6a230fc25d128c9d1b56061a&STUDY_ID=6a230fc25d128c9d1b56061a&SESSION_ID=6a26d6ecf84152d6405839fe?PROLIFIC_PID=6a020761171e2014c686e110&SESSION_ID=6a26d6ecf84152d6405839fe?","en-US,en;q=0.9","6a020761171e2014c686e110","6a230fc25d128c9d1b56061a","6a26d6ecf84152d6405839fe?","6a020761171e2014c686e110","6a230fc25d128c9d1b56061a","6a26d6ecf84152d6405839fe?","30","[5,7,15,11,21,6,1,9,22,10,29,25,12,3,2,19,20,16,14,8,30,17,26,23,24,4,28,27,18,13]","[""U5"",""U7"",""P15"",""P11"",""P21"",""P6"",""U1"",""U9"",""U22"",""P10"",""U29"",""U25"",""U12"",""P3"",""P2"",""P19"",""P20"",""P16"",""U14"",""P8"",""U30"",""U17"",""P26"",""U23"",""P24"",""P4"",""P28"",""P27"",""U18"",""U13""]","[""P5"",""P7"",""U15"",""U11"",""U21"",""U6"",""P1"",""P9"",""P22"",""U10"",""P29"",""P25"",""P12"",""U3"",""U2"",""U19"",""U20"",""U16"",""P14"",""U8"",""P30"",""P17"",""U26"",""P23"",""U24"",""U4"",""U28"",""U27"",""P18"",""P13""]","5","5","0","0","0","0","","null","[""library_v1.mp4""]","null","demo_video","","","","","","","1","demo1","library_v1.mp4","library","Demo","[]","0","","","","","","","","","","","","","","","","","",""
"","","","","","call-function","10","2.0.0","253521","80","1","2026-06-08 14:53:35","segmentation_norming_randomized_order_maxrun_attention_v4","88.97.165.187","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36","WebKit","Chrome","149.0.0.0","Windows","10.0","https://uencdihehs.cognition.run/?PROLIFIC_PID=6a020761171e2014c686e110&STUDY_ID=6a230fc25d128c9d1b56061a&STUDY_ID=6a230fc25d128c9d1b56061a&SESSION_ID=6a26d6ecf84152d6405839fe?PROLIFIC_PID=6a020761171e2014c686e110&SESSION_ID=6a26d6ecf84152d6405839fe?","en-US,en;q=0.9","6a020761171e2014c686e110","6a230fc25d128c9d1b56061a","6a26d6ecf84152d6405839fe?","6a020761171e2014c686e110","6a230fc25d128c9d1b56061a","6a26d6ecf84152d6405839fe?","30","[5,7,15,11,21,6,1,9,22,10,29,25,12,3,2,19,20,16,14,8,30,17,26,23,24,4,28,27,18,13]","[""U5"",""U7"",""P15"",""P11"",""P21"",""P6"",""U1"",""U9"",""U22"",""P10"",""U29"",""U25"",""U12"",""P3"",""P2"",""P19"",""P20"",""P16"",""U14"",""P8"",""U30"",""U17"",""P26"",""U23"",""P24"",""P4"",""P28"",""P27"",""U18"",""U13""]","[""P5"",""P7"",""U15"",""U11"",""U21"",""U6"",""P1"",""P9"",""P22"",""U10"",""P29"",""P25"",""P12"",""U3"",""U2"",""U19"",""U20"",""U16"",""P14"",""U8"",""P30"",""P17"",""U26"",""P23"",""U24"",""U4"",""U28"",""U27"",""P18"",""P13""]","5","5","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
