"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","subject_id","study_id","session_id","pair_count","randomized_pair_order","block1_codes","block2_codes","max_run_block1","max_run_block2","fullscreen_exit_count","tab_switch_count","video_attention_failure_count","total_attention_violation_count","view_history","rt","stimulus","response","trial_kind","question_order","spacebar_question_answer","attention_question_answer","spacebar_question_correct","attention_question_correct","instruction_check_passed","demo_index","demo_code","stimulus_file","stimulus_name","predictability","boundary_times_sec","boundary_count","value","video_code","pair_number","block","global_position_in_block","min_press_gap_sec","no_press_failure","rapid_press_failure","video_attention_failed","video_attention_failure_type","last_video_had_any_attention_violation","current_video_fullscreen_exit_count","current_video_tab_switch_count","current_video_had_fullscreen_exit","current_video_had_tab_switch","current_video_had_video_attention_failure","skipped_video_debug","confidence_rating"
"true","false","[]","[]","[]","preload","0","2.0.0","5356","70","1","2026-06-08 14:07:30","segmentation_norming_randomized_order_maxrun_attention_v4","75.159.35.253","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36","Macintosh","Chrome","148.0.0.0","OS X","10_15_7","https://uencdihehs.cognition.run/?PROLIFIC_PID=69ebf7ef9b1f438ecd629727&STUDY_ID=6a230fc25d128c9d1b56061a&STUDY_ID=6a230fc25d128c9d1b56061a&SESSION_ID=6a26cc9232399d330febc0da?PROLIFIC_PID=69ebf7ef9b1f438ecd629727&SESSION_ID=6a26cc9232399d330febc0da?","en-US,en;q=0.9","69ebf7ef9b1f438ecd629727","6a230fc25d128c9d1b56061a","6a26cc9232399d330febc0da?","69ebf7ef9b1f438ecd629727","6a230fc25d128c9d1b56061a","6a26cc9232399d330febc0da?","30","[24,23,12,1,25,20,21,16,27,7,15,18,4,3,2,10,29,9,13,28,19,26,6,11,5,30,17,14,8,22]","[""P24"",""P23"",""U12"",""P1"",""P25"",""P20"",""U21"",""U16"",""U27"",""U7"",""P15"",""P18"",""U4"",""P3"",""P2"",""U10"",""U29"",""U9"",""U13"",""U28"",""P19"",""U26"",""U6"",""P11"",""U5"",""U30"",""U17"",""P14"",""P8"",""P22""]","[""U24"",""U23"",""P12"",""U1"",""U25"",""U20"",""P21"",""P16"",""P27"",""P7"",""U15"",""U18"",""P4"",""U3"",""U2"",""P10"",""P29"",""P9"",""P13"",""P28"",""U19"",""P26"",""P6"",""U11"",""P5"",""P30"",""P17"",""U14"",""U8"",""U22""]","5","5","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","2.0.0","14408","70","1","2026-06-08 14:07:30","segmentation_norming_randomized_order_maxrun_attention_v4","75.159.35.253","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36","Macintosh","Chrome","148.0.0.0","OS X","10_15_7","https://uencdihehs.cognition.run/?PROLIFIC_PID=69ebf7ef9b1f438ecd629727&STUDY_ID=6a230fc25d128c9d1b56061a&STUDY_ID=6a230fc25d128c9d1b56061a&SESSION_ID=6a26cc9232399d330febc0da?PROLIFIC_PID=69ebf7ef9b1f438ecd629727&SESSION_ID=6a26cc9232399d330febc0da?","en-US,en;q=0.9","69ebf7ef9b1f438ecd629727","6a230fc25d128c9d1b56061a","6a26cc9232399d330febc0da?","69ebf7ef9b1f438ecd629727","6a230fc25d128c9d1b56061a","6a26cc9232399d330febc0da?","30","[24,23,12,1,25,20,21,16,27,7,15,18,4,3,2,10,29,9,13,28,19,26,6,11,5,30,17,14,8,22]","[""P24"",""P23"",""U12"",""P1"",""P25"",""P20"",""U21"",""U16"",""U27"",""U7"",""P15"",""P18"",""U4"",""P3"",""P2"",""U10"",""U29"",""U9"",""U13"",""U28"",""P19"",""U26"",""U6"",""P11"",""U5"",""U30"",""U17"",""P14"",""P8"",""P22""]","[""U24"",""U23"",""P12"",""U1"",""U25"",""U20"",""P21"",""P16"",""P27"",""P7"",""U15"",""U18"",""P4"",""U3"",""U2"",""P10"",""P29"",""P9"",""P13"",""P28"",""U19"",""P26"",""P6"",""U11"",""P5"",""P30"",""P17"",""U14"",""U8"",""U22""]","5","5","0","0","0","0","[{""page_index"":0,""viewing_time"":9051}]","9051","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","2.0.0","18364","70","1","2026-06-08 14:07:30","segmentation_norming_randomized_order_maxrun_attention_v4","75.159.35.253","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36","Macintosh","Chrome","148.0.0.0","OS X","10_15_7","https://uencdihehs.cognition.run/?PROLIFIC_PID=69ebf7ef9b1f438ecd629727&STUDY_ID=6a230fc25d128c9d1b56061a&STUDY_ID=6a230fc25d128c9d1b56061a&SESSION_ID=6a26cc9232399d330febc0da?PROLIFIC_PID=69ebf7ef9b1f438ecd629727&SESSION_ID=6a26cc9232399d330febc0da?","en-US,en;q=0.9","69ebf7ef9b1f438ecd629727","6a230fc25d128c9d1b56061a","6a26cc9232399d330febc0da?","69ebf7ef9b1f438ecd629727","6a230fc25d128c9d1b56061a","6a26cc9232399d330febc0da?","30","[24,23,12,1,25,20,21,16,27,7,15,18,4,3,2,10,29,9,13,28,19,26,6,11,5,30,17,14,8,22]","[""P24"",""P23"",""U12"",""P1"",""P25"",""P20"",""U21"",""U16"",""U27"",""U7"",""P15"",""P18"",""U4"",""P3"",""P2"",""U10"",""U29"",""U9"",""U13"",""U28"",""P19"",""U26"",""U6"",""P11"",""U5"",""U30"",""U17"",""P14"",""P8"",""P22""]","[""U24"",""U23"",""P12"",""U1"",""U25"",""U20"",""P21"",""P16"",""P27"",""P7"",""U15"",""U18"",""P4"",""U3"",""U2"",""P10"",""P29"",""P9"",""P13"",""P28"",""U19"",""P26"",""P6"",""U11"",""P5"",""P30"",""P17"",""U14"",""U8"",""U22""]","5","5","0","0","0","0","","2951","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","3","2.0.0","31437","70","1","2026-06-08 14:07:30","segmentation_norming_randomized_order_maxrun_attention_v4","75.159.35.253","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36","Macintosh","Chrome","148.0.0.0","OS X","10_15_7","https://uencdihehs.cognition.run/?PROLIFIC_PID=69ebf7ef9b1f438ecd629727&STUDY_ID=6a230fc25d128c9d1b56061a&STUDY_ID=6a230fc25d128c9d1b56061a&SESSION_ID=6a26cc9232399d330febc0da?PROLIFIC_PID=69ebf7ef9b1f438ecd629727&SESSION_ID=6a26cc9232399d330febc0da?","en-US,en;q=0.9","69ebf7ef9b1f438ecd629727","6a230fc25d128c9d1b56061a","6a26cc9232399d330febc0da?","69ebf7ef9b1f438ecd629727","6a230fc25d128c9d1b56061a","6a26cc9232399d330febc0da?","30","[24,23,12,1,25,20,21,16,27,7,15,18,4,3,2,10,29,9,13,28,19,26,6,11,5,30,17,14,8,22]","[""P24"",""P23"",""U12"",""P1"",""P25"",""P20"",""U21"",""U16"",""U27"",""U7"",""P15"",""P18"",""U4"",""P3"",""P2"",""U10"",""U29"",""U9"",""U13"",""U28"",""P19"",""U26"",""U6"",""P11"",""U5"",""U30"",""U17"",""P14"",""P8"",""P22""]","[""U24"",""U23"",""P12"",""U1"",""U25"",""U20"",""P21"",""P16"",""P27"",""P7"",""U15"",""U18"",""P4"",""U3"",""U2"",""P10"",""P29"",""P9"",""P13"",""P28"",""U19"",""P26"",""P6"",""U11"",""P5"",""P30"",""P17"",""U14"",""U8"",""U22""]","5","5","0","0","0","0","","13071","The experiment requires continuous attention and full-screen participation throughout the task.<br><br>You may be asked to exit the experiment and cancel your participation if you exit Full Screen Mode, switch tabs, or fail to meet the attention criteria more than the allowed number of times.<br><br>Please read the following instructions carefully.","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","4","2.0.0","47960","70","1","2026-06-08 14:07:30","segmentation_norming_randomized_order_maxrun_attention_v4","75.159.35.253","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36","Macintosh","Chrome","148.0.0.0","OS X","10_15_7","https://uencdihehs.cognition.run/?PROLIFIC_PID=69ebf7ef9b1f438ecd629727&STUDY_ID=6a230fc25d128c9d1b56061a&STUDY_ID=6a230fc25d128c9d1b56061a&SESSION_ID=6a26cc9232399d330febc0da?PROLIFIC_PID=69ebf7ef9b1f438ecd629727&SESSION_ID=6a26cc9232399d330febc0da?","en-US,en;q=0.9","69ebf7ef9b1f438ecd629727","6a230fc25d128c9d1b56061a","6a26cc9232399d330febc0da?","69ebf7ef9b1f438ecd629727","6a230fc25d128c9d1b56061a","6a26cc9232399d330febc0da?","30","[24,23,12,1,25,20,21,16,27,7,15,18,4,3,2,10,29,9,13,28,19,26,6,11,5,30,17,14,8,22]","[""P24"",""P23"",""U12"",""P1"",""P25"",""P20"",""U21"",""U16"",""U27"",""U7"",""P15"",""P18"",""U4"",""P3"",""P2"",""U10"",""U29"",""U9"",""U13"",""U28"",""P19"",""U26"",""U6"",""P11"",""U5"",""U30"",""U17"",""P14"",""P8"",""P22""]","[""U24"",""U23"",""P12"",""U1"",""U25"",""U20"",""P21"",""P16"",""P27"",""P7"",""U15"",""U18"",""P4"",""U3"",""U2"",""P10"",""P29"",""P9"",""P13"",""P28"",""U19"",""P26"",""P6"",""U11"",""P5"",""P30"",""P17"",""U14"",""U8"",""U22""]","5","5","0","0","0","0","[{""page_index"":0,""viewing_time"":16521}]","16522","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","2.0.0","56172","70","1","2026-06-08 14:07:30","segmentation_norming_randomized_order_maxrun_attention_v4","75.159.35.253","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36","Macintosh","Chrome","148.0.0.0","OS X","10_15_7","https://uencdihehs.cognition.run/?PROLIFIC_PID=69ebf7ef9b1f438ecd629727&STUDY_ID=6a230fc25d128c9d1b56061a&STUDY_ID=6a230fc25d128c9d1b56061a&SESSION_ID=6a26cc9232399d330febc0da?PROLIFIC_PID=69ebf7ef9b1f438ecd629727&SESSION_ID=6a26cc9232399d330febc0da?","en-US,en;q=0.9","69ebf7ef9b1f438ecd629727","6a230fc25d128c9d1b56061a","6a26cc9232399d330febc0da?","69ebf7ef9b1f438ecd629727","6a230fc25d128c9d1b56061a","6a26cc9232399d330febc0da?","30","[24,23,12,1,25,20,21,16,27,7,15,18,4,3,2,10,29,9,13,28,19,26,6,11,5,30,17,14,8,22]","[""P24"",""P23"",""U12"",""P1"",""P25"",""P20"",""U21"",""U16"",""U27"",""U7"",""P15"",""P18"",""U4"",""P3"",""P2"",""U10"",""U29"",""U9"",""U13"",""U28"",""P19"",""U26"",""U6"",""P11"",""U5"",""U30"",""U17"",""P14"",""P8"",""P22""]","[""U24"",""U23"",""P12"",""U1"",""U25"",""U20"",""P21"",""P16"",""P27"",""P7"",""U15"",""U18"",""P4"",""U3"",""U2"",""P10"",""P29"",""P9"",""P13"",""P28"",""U19"",""P26"",""P6"",""U11"",""P5"",""P30"",""P17"",""U14"",""U8"",""U22""]","5","5","0","0","0","0","","8210","Please pay attention when watching videos and marking boundaries.<br><br>There are several hidden attention criteria to make sure you watch the videos carefully.<br><br>If you fail these hidden criteria more than the allowed number of times, you may be asked to exit the experiment.","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-multi-choice","6","2.0.0","84223","70","1","2026-06-08 14:07:30","segmentation_norming_randomized_order_maxrun_attention_v4","75.159.35.253","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36","Macintosh","Chrome","148.0.0.0","OS X","10_15_7","https://uencdihehs.cognition.run/?PROLIFIC_PID=69ebf7ef9b1f438ecd629727&STUDY_ID=6a230fc25d128c9d1b56061a&STUDY_ID=6a230fc25d128c9d1b56061a&SESSION_ID=6a26cc9232399d330febc0da?PROLIFIC_PID=69ebf7ef9b1f438ecd629727&SESSION_ID=6a26cc9232399d330febc0da?","en-US,en;q=0.9","69ebf7ef9b1f438ecd629727","6a230fc25d128c9d1b56061a","6a26cc9232399d330febc0da?","69ebf7ef9b1f438ecd629727","6a230fc25d128c9d1b56061a","6a26cc9232399d330febc0da?","30","[24,23,12,1,25,20,21,16,27,7,15,18,4,3,2,10,29,9,13,28,19,26,6,11,5,30,17,14,8,22]","[""P24"",""P23"",""U12"",""P1"",""P25"",""P20"",""U21"",""U16"",""U27"",""U7"",""P15"",""P18"",""U4"",""P3"",""P2"",""U10"",""U29"",""U9"",""U13"",""U28"",""P19"",""U26"",""U6"",""P11"",""U5"",""U30"",""U17"",""P14"",""P8"",""P22""]","[""U24"",""U23"",""P12"",""U1"",""U25"",""U20"",""P21"",""P16"",""P27"",""P7"",""U15"",""U18"",""P4"",""U3"",""U2"",""P10"",""P29"",""P9"",""P13"",""P28"",""U19"",""P26"",""P6"",""U11"",""P5"",""P30"",""P17"",""U14"",""U8"",""U22""]","5","5","0","0","0","0","","28047","","{""spacebar_question"":""All of the above answers are wrong"",""attention_question"":""Press space bar to segment the video""}","comprehension_check","[0,1]","All of the above answers are wrong","Press space bar to segment the video","false","true","false","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","2.0.0","87718","70","1","2026-06-08 14:07:30","segmentation_norming_randomized_order_maxrun_attention_v4","75.159.35.253","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36","Macintosh","Chrome","148.0.0.0","OS X","10_15_7","https://uencdihehs.cognition.run/?PROLIFIC_PID=69ebf7ef9b1f438ecd629727&STUDY_ID=6a230fc25d128c9d1b56061a&STUDY_ID=6a230fc25d128c9d1b56061a&SESSION_ID=6a26cc9232399d330febc0da?PROLIFIC_PID=69ebf7ef9b1f438ecd629727&SESSION_ID=6a26cc9232399d330febc0da?","en-US,en;q=0.9","69ebf7ef9b1f438ecd629727","6a230fc25d128c9d1b56061a","6a26cc9232399d330febc0da?","69ebf7ef9b1f438ecd629727","6a230fc25d128c9d1b56061a","6a26cc9232399d330febc0da?","30","[24,23,12,1,25,20,21,16,27,7,15,18,4,3,2,10,29,9,13,28,19,26,6,11,5,30,17,14,8,22]","[""P24"",""P23"",""U12"",""P1"",""P25"",""P20"",""U21"",""U16"",""U27"",""U7"",""P15"",""P18"",""U4"",""P3"",""P2"",""U10"",""U29"",""U9"",""U13"",""U28"",""P19"",""U26"",""U6"",""P11"",""U5"",""U30"",""U17"",""P14"",""P8"",""P22""]","[""U24"",""U23"",""P12"",""U1"",""U25"",""U20"",""P21"",""P16"",""P27"",""P7"",""U15"",""U18"",""P4"",""U3"",""U2"",""P10"",""P29"",""P9"",""P13"",""P28"",""U19"",""P26"",""P6"",""U11"",""P5"",""P30"",""P17"",""U14"",""U8"",""U22""]","5","5","0","0","0","0","","3493","You answered some questions incorrectly.<br><br>Please read the instructions again before continuing.","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","8","2.0.0","103258","70","1","2026-06-08 14:07:30","segmentation_norming_randomized_order_maxrun_attention_v4","75.159.35.253","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36","Macintosh","Chrome","148.0.0.0","OS X","10_15_7","https://uencdihehs.cognition.run/?PROLIFIC_PID=69ebf7ef9b1f438ecd629727&STUDY_ID=6a230fc25d128c9d1b56061a&STUDY_ID=6a230fc25d128c9d1b56061a&SESSION_ID=6a26cc9232399d330febc0da?PROLIFIC_PID=69ebf7ef9b1f438ecd629727&SESSION_ID=6a26cc9232399d330febc0da?","en-US,en;q=0.9","69ebf7ef9b1f438ecd629727","6a230fc25d128c9d1b56061a","6a26cc9232399d330febc0da?","69ebf7ef9b1f438ecd629727","6a230fc25d128c9d1b56061a","6a26cc9232399d330febc0da?","30","[24,23,12,1,25,20,21,16,27,7,15,18,4,3,2,10,29,9,13,28,19,26,6,11,5,30,17,14,8,22]","[""P24"",""P23"",""U12"",""P1"",""P25"",""P20"",""U21"",""U16"",""U27"",""U7"",""P15"",""P18"",""U4"",""P3"",""P2"",""U10"",""U29"",""U9"",""U13"",""U28"",""P19"",""U26"",""U6"",""P11"",""U5"",""U30"",""U17"",""P14"",""P8"",""P22""]","[""U24"",""U23"",""P12"",""U1"",""U25"",""U20"",""P21"",""P16"",""P27"",""P7"",""U15"",""U18"",""P4"",""U3"",""U2"",""P10"",""P29"",""P9"",""P13"",""P28"",""U19"",""P26"",""P6"",""U11"",""P5"",""P30"",""P17"",""U14"",""U8"",""U22""]","5","5","0","0","0","0","[{""page_index"":0,""viewing_time"":15538}]","15538","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","2.0.0","106320","70","1","2026-06-08 14:07:30","segmentation_norming_randomized_order_maxrun_attention_v4","75.159.35.253","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36","Macintosh","Chrome","148.0.0.0","OS X","10_15_7","https://uencdihehs.cognition.run/?PROLIFIC_PID=69ebf7ef9b1f438ecd629727&STUDY_ID=6a230fc25d128c9d1b56061a&STUDY_ID=6a230fc25d128c9d1b56061a&SESSION_ID=6a26cc9232399d330febc0da?PROLIFIC_PID=69ebf7ef9b1f438ecd629727&SESSION_ID=6a26cc9232399d330febc0da?","en-US,en;q=0.9","69ebf7ef9b1f438ecd629727","6a230fc25d128c9d1b56061a","6a26cc9232399d330febc0da?","69ebf7ef9b1f438ecd629727","6a230fc25d128c9d1b56061a","6a26cc9232399d330febc0da?","30","[24,23,12,1,25,20,21,16,27,7,15,18,4,3,2,10,29,9,13,28,19,26,6,11,5,30,17,14,8,22]","[""P24"",""P23"",""U12"",""P1"",""P25"",""P20"",""U21"",""U16"",""U27"",""U7"",""P15"",""P18"",""U4"",""P3"",""P2"",""U10"",""U29"",""U9"",""U13"",""U28"",""P19"",""U26"",""U6"",""P11"",""U5"",""U30"",""U17"",""P14"",""P8"",""P22""]","[""U24"",""U23"",""P12"",""U1"",""U25"",""U20"",""P21"",""P16"",""P27"",""P7"",""U15"",""U18"",""P4"",""U3"",""U2"",""P10"",""P29"",""P9"",""P13"",""P28"",""U19"",""P26"",""P6"",""U11"",""P5"",""P30"",""P17"",""U14"",""U8"",""U22""]","5","5","0","0","0","0","","3060","Please pay attention when watching videos and marking boundaries.<br><br>There are several hidden attention criteria to make sure you watch the videos carefully.<br><br>If you fail these hidden criteria more than the allowed number of times, you may be asked to exit the experiment.","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
